Latitude,Longitude,state
37.78900814,-122.308168,CA
37.78849728,-122.2926957,CA
37.76834546,-122.2638957,CA
37.88210128,-122.3025937,CA
37.87766657,-122.3016076,CA
37.88210128,-122.3025937,CA
37.86608879,-122.3000082,CA
37.87833538,-122.3023838,CA
37.63857967,-121.9652975,CA
37.69201065,-122.0211105,CA
37.63501692,-121.9570435,CA
37.74516788,-122.0560975,CA
37.65535004,-121.7572272,CA
37.65659463,-121.7679782,CA
37.66138912,-121.6658616,CA
37.62949091,-121.7907785,CA
37.66416707,-121.7311256,CA
37.66416707,-121.7311256,CA
37.62949091,-121.7907785,CA
37.62949091,-121.7907785,CA
37.65006448,-121.6989891,CA
37.66660149,-121.713825,CA
37.64312309,-121.7912681,CA
37.66596146,-121.7396749,CA
37.67980794,-121.7266327,CA
37.67532297,-121.7200974,CA
37.65010105,-121.7034524,CA
37.681436,-121.753052,CA
37.67800073,-121.719985,CA
37.65584469,-121.6708323,CA
37.67757857,-121.7199923,CA
37.65526218,-121.7001956,CA
37.63220009,-121.7964682,CA
37.66678476,-121.7473089,CA
37.66678476,-121.7473089,CA
37.66678476,-121.7473089,CA
37.64783411,-121.6940078,CA
37.66746168,-121.6977129,CA
37.66893706,-121.6896814,CA
37.64448403,-121.6919349,CA
37.64087784,-121.7944329,CA
37.68888427,-121.6877848,CA
37.77976889,-121.8012763,CA
37.66683159,-121.7360169,CA
37.67650788,-121.7194233,CA
37.66906552,-121.7467257,CA
37.67564841,-121.7190321,CA
37.65584469,-121.6708323,CA
37.6731463,-121.749343,CA
37.64527323,-121.7716871,CA
37.66219699,-121.6755868,CA
37.66632743,-121.7336951,CA
37.67601163,-121.7194266,CA
37.66683159,-121.7360169,CA
37.64783411,-121.6940078,CA
37.639966,-121.7128757,CA
37.65667804,-121.663154,CA
37.75119686,-122.1869851,CA
37.74043598,-122.1829328,CA
37.79894655,-122.2796499,CA
37.81676838,-122.2848391,CA
37.79396178,-122.2659955,CA
37.7796379,-122.2403408,CA
37.81426978,-122.2673971,CA
37.79396178,-122.2659955,CA
37.65154933,-121.8209823,CA
37.67323207,-121.8660832,CA
37.66271703,-121.8576498,CA
37.71646394,-122.1791955,CA
37.60090317,-121.8911758,CA
38.423289,-120.826231,CA
38.49801725,-120.7107238,CA
38.502916,-120.725438,CA
38.49607214,-120.7595452,CA
38.52569291,-120.7105895,CA
38.51797774,-120.7568655,CA
38.502916,-120.725438,CA
38.29930337,-120.9467234,CA
38.41379096,-120.9029568,CA
38.329832,-120.932789,CA
38.31344601,-120.8856535,CA
38.27593999,-120.8866929,CA
38.27857188,-120.8944643,CA
38.39977772,-120.9080369,CA
38.35392716,-120.7716563,CA
38.54155004,-120.7853502,CA
38.53673454,-120.7927267,CA
38.54191681,-120.7885062,CA
38.52647607,-120.8131844,CA
38.51823078,-120.8237189,CA
38.5294362,-120.8315466,CA
38.50268281,-120.8242493,CA
38.53045102,-120.810918,CA
38.49674659,-120.8184753,CA
38.45858123,-120.9150065,CA
38.52624549,-120.8017893,CA
38.51975002,-120.8229957,CA
38.51605052,-120.8227165,CA
38.51718596,-120.8188235,CA
38.43436786,-120.9020418,CA
38.5177488,-120.8045534,CA
38.54328372,-120.7916025,CA
38.54114672,-120.7936999,CA
38.5212126,-120.8205471,CA
38.53841878,-120.7974127,CA
38.52504444,-120.8193662,CA
38.5380304,-120.7834819,CA
38.55120229,-120.8287236,CA
38.50950123,-120.8015949,CA
38.52862651,-120.8196517,CA
38.492195,-120.86161,CA
38.5450374,-120.803531,CA
38.50596788,-120.8231337,CA
38.52179902,-120.8178796,CA
38.49720517,-120.8149413,CA
38.54191681,-120.7885062,CA
38.38847009,-120.7643992,CA
38.42466,-120.75336,CA
38.39321228,-120.7554395,CA
38.48056317,-120.6351478,CA
37.78842916,-122.3081069,CA
37.88210128,-122.3025937,CA
37.86271009,-122.2982295,CA
37.64087784,-121.7944329,CA
37.6496734,-121.6939325,CA
37.65372672,-121.6967233,CA
37.67771086,-121.719031,CA
37.66416707,-121.7311256,CA
37.62949091,-121.7907785,CA
37.66632308,-121.7073785,CA
37.79894655,-122.2796499,CA
37.81818294,-122.2831924,CA
38.423289,-120.826231,CA
38.423289,-120.826231,CA
38.53368025,-120.7280471,CA
38.5211231,-120.8203431,CA
38.492195,-120.86161,CA
38.492195,-120.86161,CA
38.51737124,-120.8239893,CA
38.52179902,-120.8178796,CA
38.4911228,-120.8297623,CA
38.53465456,-120.8311784,CA
38.51737124,-120.8239893,CA
38.48819927,-120.9403388,CA
38.53842801,-120.7903964,CA
38.47887723,-120.6268519,CA
39.39856921,-121.4228189,CA
39.71661205,-121.8172161,CA
39.83860715,-121.8401308,CA
39.81141343,-121.9709926,CA
39.82458861,-121.8724413,CA
39.68530251,-121.8389191,CA
39.80902747,-121.8607878,CA
38.444551,-120.847909,CA
39.64284464,-121.7865679,CA
39.66735746,-121.7783593,CA
40.089969,-121.531089,CA
39.51576761,-121.4909738,CA
39.49488469,-121.4736366,CA
39.50763304,-121.4804305,CA
39.45238545,-121.4549009,CA
39.4275951,-121.354718,CA
39.64404148,-121.6041529,CA
39.65277697,-121.8533922,CA
39.51086723,-121.5685677,CA
38.0961765,-120.6083433,CA
38.074616,-120.625043,CA
38.03819342,-120.6248056,CA
38.166266,-120.8790569,CA
37.9845717,-120.6470647,CA
37.9845717,-120.6470647,CA
37.9845717,-120.6470647,CA
37.9845717,-120.6470647,CA
37.957753,-120.638434,CA
38.116433,-120.457748,CA
38.29695216,-120.7077464,CA
38.2448674,-120.5151126,CA
38.2382511,-120.5455571,CA
38.19497373,-120.5358312,CA
38.14102505,-120.4605319,CA
38.1060426,-120.4943327,CA
38.141938,-120.445081,CA
38.10604975,-120.5194946,CA
38.13801651,-120.4692366,CA
38.12832889,-120.4359607,CA
38.16978621,-120.4124516,CA
38.11123317,-120.5081788,CA
38.20896619,-120.6747794,CA
38.23783604,-120.4286524,CA
37.866632,-122.282429,CA
38.09610125,-120.4714412,CA
38.02691869,-120.47836,CA
38.085955,-120.470775,CA
38.09191829,-120.472329,CA
38.085955,-120.470775,CA
38.03588795,-120.4709651,CA
38.25111267,-120.7764816,CA
38.147636,-120.857242,CA
38.40078004,-120.5203124,CA
38.23783604,-120.4286524,CA
37.92546579,-121.6658026,CA
38.00993538,-122.0389826,CA
37.95150355,-122.0280814,CA
37.95150355,-122.0280814,CA
37.89428949,-122.1286116,CA
37.85037982,-122.0861634,CA
38.00478828,-122.1013641,CA
37.98454427,-122.1152869,CA
37.96627518,-122.1956234,CA
37.85254705,-122.1160811,CA
37.84741116,-122.0997039,CA
37.85712286,-122.1336017,CA
37.98967777,-121.7396046,CA
38.03056,-122.261841,CA
37.91081055,-121.9932387,CA
38.09503812,-120.5604027,CA
37.9845717,-120.6470647,CA
37.9053132,-120.3704286,CA
37.657207,-122.041013,CA
38.10604975,-120.5194946,CA
38.02480393,-120.4790584,CA
37.96066764,-121.6592367,CA
37.86400063,-122.1246668,CA
37.87947969,-122.1573451,CA
37.89093459,-122.1819928,CA
37.90914889,-122.1736014,CA
37.915859,-122.023678,CA
38.64591713,-120.9658364,CA
38.74073891,-120.695713,CA
38.74073891,-120.695713,CA
38.75136,-120.66504,CA
38.77142268,-120.7181932,CA
38.77142268,-120.7181932,CA
38.74950112,-120.6694662,CA
38.74073806,-120.6956566,CA
38.73250209,-120.6681347,CA
38.74013402,-120.6751776,CA
38.74073891,-120.695713,CA
38.7605187,-120.713294,CA
38.69565607,-120.8267536,CA
38.5883286,-120.664434,CA
38.56606259,-120.7008856,CA
38.5883286,-120.664434,CA
